oven,start_time,chickens,expected_end_time,end_time,actual_cooking_time,time_difference,date,cooking_duration,time_since_last_batch,hour,day_of_week,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
2,2024-10-06 14:54:49.854104-04:00,28.0,2024-10-06 16:24:49.792000-04:00,2024-10-06 16:25:44.636032-04:00,90.91303213333336,0.9140672,2024-10-06,90.91303213333335,103.72841941666667,14,6,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2,2024-10-07 13:05:59.670727-04:00,28.0,2024-10-07 14:35:59.498000-04:00,2024-10-07 15:04:31.099131-04:00,118.52380673333332,28.526685516666664,2024-10-07,118.52380673333333,1331.1636103833334,13,0,-0.25881904510252035,-0.9659258262890684,0.0,1.0
2,2024-10-07 15:15:26.552251-04:00,28.0,2024-10-07 16:45:26.489000-04:00,2024-10-07 16:59:27.161845-04:00,104.0101599,14.011214083333334,2024-10-07,104.01015989999999,129.4480254,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2,2024-10-08 11:26:45.561976-04:00,28.0,2024-10-08 12:50:58.981000-04:00,2024-10-08 13:01:36.493919-04:00,94.84886571467972,10.625215316666669,2024-10-08,94.84886571666667,1211.31682875,11,1,0.258819045102521,-0.9659258262890682,0.7818314824680297,0.6234898018587336
2,2024-10-08 13:29:56.134620-04:00,28.0,2024-10-08 14:59:56.091000-04:00,2024-10-08 15:01:21.588652-04:00,91.42423386666664,1.4249608666666669,2024-10-08,91.42423386666665,123.17621073333333,13,1,-0.25881904510252035,-0.9659258262890684,0.7818314824680297,0.6234898018587336
2,2024-10-08 15:15:53.548008-04:00,28.0,2024-10-08 16:45:53.489000-04:00,2024-10-08 17:04:35.367554-04:00,108.69699243333334,18.6979759,2024-10-08,108.69699243333334,105.9568898,15,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680297,0.6234898018587336
2,2024-10-13 13:12:33.234790-04:00,28.0,2024-10-13 14:42:33.099000-04:00,2024-10-13 14:34:47.887259-04:00,82.24420781666666,-7.753529016666667,2024-10-13,82.24420781666666,7076.6614463666665,13,6,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
2,2024-10-13 15:09:30.216548-04:00,32.0,2024-10-13 16:39:29.984000-04:00,2024-10-13 16:36:24.003917-04:00,86.89645614999999,-3.09966805,2024-10-13,86.89645614999999,116.94969596666667,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
3,2024-10-04 11:33:09.892222-04:00,32.0,2024-10-04 13:07:16.091000-04:00,2024-10-04 13:11:40.295586-04:00,98.5067227387162,4.403409766666667,2024-10-04,98.50672273333333,,11,4,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191
3,2024-10-04 13:20:42.846158-04:00,28.0,2024-10-04 14:50:42.698000-04:00,2024-10-04 14:46:58.609941-04:00,86.26272971666667,-3.734800983333333,2024-10-04,86.26272971666667,107.54923226666666,13,4,-0.25881904510252035,-0.9659258262890684,-0.433883739117558,-0.9009688679024191
3,2024-10-04 15:07:03.048712-04:00,28.0,2024-10-04 16:37:02.966000-04:00,2024-10-04 16:34:21.228914-04:00,87.30300336666666,-2.6956181,2024-10-04,87.30300336666666,106.33670923333334,15,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191
3,2024-10-05 11:36:36.979774-04:00,32.0,2024-10-05 13:06:36.813000-04:00,2024-10-05 13:27:39.583567-04:00,111.04339655,21.04617611666667,2024-10-05,111.04339655,1229.5655177,11,5,0.258819045102521,-0.9659258262890682,-0.9749279121818235,-0.2225209339563146
3,2024-10-05 13:43:58.812093-04:00,32.0,2024-10-05 15:13:58.729000-04:00,2024-10-05 15:17:16.275047-04:00,93.29104923333333,3.292434116666666,2024-10-05,93.29104923333333,127.36387198333334,13,5,-0.25881904510252035,-0.9659258262890684,-0.9749279121818235,-0.2225209339563146
