action,oven,chickens,start_time,expected_end_time,timestamp,new_time_left,new_expected_end_time,actual_end_time,chickens_taken,chickens_left,time,cooking_duration,imputed_start_time,is_imputed
start_cooking,2,28.0,2024-10-13T17:12:33.099Z,2024-10-13T18:42:33.099Z,2024-10-13 17:12:33.234000+00:00,,,,,,,82.24421666666667,2024-10-13 17:12:33.234000+00:00,False
finish_cooking,2,28.0,2024-10-18T13:12:33.000Z,2024-10-18T14:42:33.000Z,2024-10-13 18:34:47.887000+00:00,,,2024-10-13T18:34:47.683Z,,,,,2024-10-13 17:42:50.532868+00:00,True
post_rush,2,,,,2024-10-13 19:09:29.143000+00:00,,,,28.0,0.0,2024-10-13T19:09:28.807Z,,2024-10-13 19:09:29.143000+00:00,False
start_cooking,2,32.0,2024-10-13T19:09:29.984Z,2024-10-13T20:39:29.984Z,2024-10-13 19:09:30.216000+00:00,,,,,,,86.89645,2024-10-13 19:09:30.216000+00:00,False
finish_cooking,2,32.0,2024-10-18T15:09:29.000Z,2024-10-18T16:39:29.000Z,2024-10-13 20:36:24.003000+00:00,,,2024-10-13T20:36:23.721Z,,,,,2024-10-13 19:44:26.648868+00:00,True
post_rush,2,,,,2024-10-13 20:42:19.771000+00:00,,,,32.0,0.0,2024-10-13T20:42:19.552Z,,2024-10-13 20:42:19.771000+00:00,False
start_cooking,3,32.0,2024-10-04T16:37:13.438Z,2024-10-04T18:07:13.438Z,2024-10-04 16:37:13.645000+00:00,,,,,,,34.44416666666667,2024-10-04 16:37:13.645000+00:00,False
adjust_cooking_time,3,,,,2024-10-04 16:37:16.215000+00:00,30.0,2024-10-04T17:07:16.091Z,,,,,,2024-10-04 16:37:16.215000+00:00,False
finish_cooking,3,32.0,,2024-10-18T13:07:16.000Z,2024-10-04 17:11:40.295000+00:00,,,2024-10-04T17:11:40.104Z,,,,,2024-10-04 16:19:42.940868+00:00,True
post_rush,3,,,,2024-10-04 17:11:45.101000+00:00,,,,32.0,0.0,2024-10-04T17:11:44.974Z,,2024-10-04 17:11:45.101000+00:00,False
start_cooking,3,28.0,2024-10-04T17:20:42.698Z,2024-10-04T18:50:42.698Z,2024-10-04 17:20:42.846000+00:00,,,,,,,0.07003333333333334,2024-10-04 17:20:42.846000+00:00,False
finish_cooking,3,28.0,2024-10-18T13:20:42.000Z,2024-10-18T14:50:42.000Z,2024-10-04 18:46:58.609000+00:00,,,2024-10-04T18:46:58.422Z,,,,,2024-10-04 17:55:01.254868+00:00,True
post_rush,3,,,,2024-10-04 19:06:59.955000+00:00,,,,8.0,20.0,2024-10-04T19:06:59.737Z,,2024-10-04 19:06:59.955000+00:00,False
start_cooking,3,28.0,2024-10-04T19:07:02.966Z,2024-10-04T20:37:02.966Z,2024-10-04 19:07:03.048000+00:00,,,,,,,87.30300000000001,2024-10-04 19:07:03.048000+00:00,False
finish_cooking,3,28.0,2024-10-18T15:07:02.000Z,2024-10-18T16:37:02.000Z,2024-10-04 20:34:21.228000+00:00,,,2024-10-04T20:34:20.774Z,,,,,2024-10-04 19:42:23.873868+00:00,True
post_rush,3,,,,2024-10-04 21:01:08.143000+00:00,,,,3.0,25.0,2024-10-04T21:01:07.914Z,,2024-10-04 21:01:08.143000+00:00,False
start_cooking,3,32.0,2024-10-05T15:36:36.813Z,2024-10-05T17:06:36.813Z,2024-10-05 15:36:36.979000+00:00,,,,,,,111.0434,2024-10-05 15:36:36.979000+00:00,False
finish_cooking,3,32.0,2024-10-18T11:36:36.000Z,2024-10-18T13:06:36.000Z,2024-10-05 17:27:39.583000+00:00,,,2024-10-05T17:27:37.092Z,,,,,2024-10-05 16:35:42.228868+00:00,True
post_rush,3,,,,2024-10-05 17:43:49.784000+00:00,,,,2.0,30.0,2024-10-05T17:43:49.568Z,,2024-10-05 17:43:49.784000+00:00,False
start_cooking,3,32.0,2024-10-05T17:43:58.729Z,2024-10-05T19:13:58.729Z,2024-10-05 17:43:58.812000+00:00,,,,,,,1.9417166666666668,2024-10-05 17:43:58.812000+00:00,False
finish_cooking,3,32.0,2024-10-18T13:43:58.000Z,2024-10-18T15:13:58.000Z,2024-10-05 19:17:16.275000+00:00,,,2024-10-05T19:17:16.016Z,,,,,2024-10-05 18:25:18.920868+00:00,True
post_rush,3,,,,2024-10-05 19:59:29.734000+00:00,,,,12.0,20.0,2024-10-05T19:59:29.687Z,,2024-10-05 19:59:29.734000+00:00,False
start_cooking,3,28.0,2024-10-05T19:59:35.133Z,2024-10-05T21:29:35.133Z,2024-10-05 19:59:35.182000+00:00,,,,,,,15.1723,2024-10-05 19:59:35.182000+00:00,False
finish_cooking,3,28.0,2024-10-18T15:59:35.000Z,2024-10-18T17:29:35.000Z,2024-10-05 21:26:52.320000+00:00,,,2024-10-05T21:26:52.151Z,,,,,2024-10-05 20:34:54.965868+00:00,True
post_rush,3,,,,2024-10-05 21:27:01.489000+00:00,,,,8.0,20.0,2024-10-05T21:27:01.248Z,,2024-10-05 21:27:01.489000+00:00,False
start_cooking,3,28.0,2024-10-06T17:11:22.670Z,2024-10-06T18:41:22.670Z,2024-10-06 17:11:23.302000+00:00,,,,,,,32.65688333333333,2024-10-06 17:11:23.302000+00:00,False
adjust_cooking_time,3,,,,2024-10-06 17:11:26.281000+00:00,40.0,2024-10-06T17:51:26.018Z,,,,,,2024-10-06 17:11:26.281000+00:00,False
finish_cooking,3,28.0,,2024-10-18T13:51:26.000Z,2024-10-06 17:44:03.912000+00:00,,,2024-10-06T17:44:03.910Z,,,,,2024-10-06 16:52:06.557868+00:00,True
